"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1987.50,5142.775483,4.29
1987.58,5383.058789,4.47
1987.67,5347.136242,4.46
1987.75,5413.883536,4.49
1987.83,5482.131476,4.55
1987.92,5245.206833,4.34
1988.00,5121.447505,4.23
1988.08,5196.561412,4.29
1988.17,5320.263059,4.40
1988.25,5290.302243,4.36
1988.33,5394.364949,4.46
1988.42,5255.07317,4.33
1988.50,5353.351625,4.40
1988.58,5373.591972,4.40
1988.67,5140.85572,4.22
1988.75,5422.342218,4.44
1988.83,5260.083709,4.29
1988.92,5372.790344,4.38
1989.00,5223.945041,4.23
1989.08,5213.149142,4.23
1989.17,5080.35302,4.12
1989.25,5345.575693,4.33
1989.33,5113.363753,4.14
1989.42,4905.701275,3.96
1989.50,4996.268136,4.03
1989.58,4958.377571,3.99
1989.67,4926.597935,3.97
1989.75,5052.029661,4.07
1989.83,4861.973585,3.90
1989.92,5017.628838,4.03
1990.00,4955.155718,3.94
1990.08,4741.144005,3.77
1990.17,4721.318337,3.75
1990.25,4645.924896,3.70
1990.33,4538.573226,3.61
1990.42,4480.605746,3.57
1990.50,4486.27907,3.57
1990.58,4309.143501,3.42
1990.67,4142.869832,3.29
1990.75,3936.617041,3.12
1990.83,3659.270865,2.90
1990.92,3661.360716,2.90
1991.00,3399.784744,2.70
1991.08,3285.048157,2.61
1991.17,3220.71536,2.55
1991.25,3205.228574,2.53
1991.33,3195.806497,2.53
1991.42,3246.443782,2.57
1991.50,3125.280314,2.48
1991.58,3078.536724,2.44
1991.67,3114.1533,2.46
1991.75,2973.477346,2.35
1991.83,3021.710861,2.38
1991.92,3044.245717,2.40
1992.00,2893.900506,2.27
1992.08,3010.260866,2.37
1992.17,3161.201938,2.48
1992.25,3048.898889,2.38
1992.33,3150.274036,2.46
1992.42,3111.135921,2.42
1992.50,3089.88633,2.40
1992.58,3162.420832,2.46
1992.67,3064.639326,2.38
1992.75,3124.318214,2.44
1992.83,3229.428988,2.51
1992.92,3232.270179,2.51
1993.00,3157.183449,2.46
1993.08,3277.354313,2.55
1993.17,3257.151311,2.53
1993.25,3256.796717,2.53
1993.33,3393.509644,2.63
1993.42,3301.668241,2.55
1993.50,3420.923777,2.64
1993.58,3498.683646,2.70
1993.67,3417.513349,2.64
1993.75,3593.262341,2.77
1993.83,3621.069893,2.79
1993.92,3723.583142,2.87
1994.00,3856.022917,2.95
1994.08,4018.476307,3.08
1994.17,4073.329494,3.12
1994.25,4072.868189,3.12
1994.33,4235.675493,3.24
1994.42,4127.333563,3.16
1994.50,4344.93578,3.33
1994.58,4180.19359,3.18
1994.67,4234.288415,3.22
1994.75,4506.224769,3.42
1994.83,4451.281596,3.37
1994.92,4615.086572,3.50
1995.00,4450.949973,3.37
1995.08,4460.055624,3.38
1995.17,4360.247269,3.30
1995.25,4424.066408,3.34
1995.33,4106.151771,3.11
1995.42,4170.063591,3.16
1995.50,4399.527843,3.32
1995.58,4354.839273,3.29
1995.67,4364.588968,3.29
1995.75,4430.876391,3.34
1995.83,4275.259717,3.22
1995.92,4677.79796,3.53
1996.00,4409.282402,3.32
1996.08,4308.280859,3.24
1996.17,4432.023711,3.33
1996.25,4330.703101,3.25
1996.33,4172.975266,3.12
1996.42,4581.520096,3.43
1996.50,4309.218165,3.21
1996.58,4322.774342,3.22
1996.67,4563.814439,3.39
1996.75,4347.575452,3.22
1996.83,4706.414476,3.49
1996.92,4663.518086,3.45
1997.00,4620.109654,3.41
1997.08,4810.022953,3.55
1997.17,4766.713795,3.51
